,Term,Documents
2769,british,"['002', '078', '078', '126', '126', '126', '126', '126', '126', '140', '197', '197', '197', '259', '301', '312', '312', '373', '379', '390', '390', '390', '443', '473', '499']"
2770,britt,"['361', '361', '361']"
2771,bro,['493']
2772,broad,"['026', '061', '061', '135']"
2773,broadcast,['373']
2774,brodersohn,"['302', '492', '498']"
2775,brodski,['330']
2776,broke,"['043', '112']"
2777,broken,"['089', '434']"
2778,broker,['028']
2779,broker deal,['058']
2780,brokerag,"['098', '098', '123', '150', '150', '435', '435', '435', '435']"
2781,brook,['028']
2782,brother,"['025', '035', '098', '123', '135', '185', '248', '292', '333', '478']"
2783,brought,"['208', '259', '333', '343', '428', '437', '437', '454']"
2784,brown forman,"['014', '023', '023', '023', '023', '023', '023']"
2785,browning ferri,"['350', '350']"
2786,brussel,"['246', '246', '462']"
2787,bsc,['021']
2788,bt,['123']
2789,btgc,['352']
2790,bubbl,"['277', '277', '277']"
2791,buckley,['277']
2792,budget,"['062', '134', '155', '155', '155', '155', '155', '155', '234', '262', '284', '284', '314', '364', '445', '445', '445', '445', '445', '445', '445', '483']"
2793,bueno,['302']
2794,buffer,['386']
2795,buffet,['339']
2796,buick,['305']
2797,build,"['028', '078', '078', '107', '107', '142', '155', '211', '264', '265', '268', '281', '350', '376', '383', '383', '397', '439']"
2798,built,"['211', '264', '265', '376', '439']"
2799,bulletin,['048']
2800,bullish,"['133', '208']"
2801,bundesbank,"['208', '208', '208', '208', '208', '208', '208']"
2802,buoyant,"['496', '496']"
2803,bur,['072']
2804,burden,"['134', '218', '304']"
2805,bureau,"['313', '372', '372', '372', '372', '410', '433']"
2806,bureaucraci,['028']
2807,burlington,"['072', '072', '072', '493']"
2808,burn,['136']
2809,burnham,"['183', '333', '351', '352', '396', '490']"
2810,burton,"['443', '443', '443']"
2811,burundi,['158']
2812,bush,['136']
2813,bushel,"['069', '069', '069', '069', '069', '122']"
2814,busi,"['015', '015', '027', '034', '054', '054', '054', '062', '079', '079', '098', '098', '102', '114', '117', '124', '124', '150', '154', '194', '204', '204', '206', '218', '227', '227', '227', '227', '229', '230', '255', '264', '264', '265', '265', '285', '285', '290', '320', '324', '324', '344', '348', '353', '364', '376', '376', '382', '392', '403', '409', '423', '424', '424', '424', '483']"
2815,business to busi,['348']
2816,businessm,"['206', '206']"
2817,businessman,['255']
2818,businessmen,"['230', '259']"
2819,butcher,['129']
2820,butter,"['001', '001', '272', '272', '454']"
2821,buy,"['010', '068', '078', '078', '078', '078', '078', '078', '104', '104', '105', '105', '107', '111', '123', '154', '154', '158', '190', '195', '201', '201', '201', '207', '207', '215', '217', '228', '228', '233', '261', '297', '298', '310', '325', '329', '333', '351', '355', '376', '376', '381', '389', '389', '391', '391', '431', '432', '441', '441', '445', '446', '448', '448', '465', '467', '467', '467', '469', '476', '497']"
2822,buyback,['445']
2823,buyer,"['001', '078', '135', '290', '292', '292', '426', '426', '469', '469']"
2824,buyout,['201']
2825,bypass,['190']
2826,byrd,['494']
2827,byte,['348']
2828,c,"['128', '161', '195', '201', '247', '305', '307', '310', '320', '441', '476']"
2829,c.a,['351']
2830,c.v,['471']
2831,ca,"['123', '136']"
2832,cabbag,['180']
2833,cabinet,['265']
2834,cabl,"['290', '290']"
2835,cabot,['493']
2836,cadillac,['305']
2837,caesar,"['261', '261', '261', '261', '261', '261', '261', '261', '261', '261', '261', '261', '261', '261']"
2838,cafe,"['396', '396']"
2839,cafeteria,['339']
2840,cake,['001']
2841,calcul,"['013', '098', '314']"
2842,caledonian,"['390', '390']"
2843,calend,['293']
2844,calendar,"['285', '367', '374']"
2845,calif,"['112', '353']"
2846,california,['139']
2847,call,"['002', '005', '005', '017', '059', '059', '061', '083', '095', '095', '099', '116', '116', '134', '134', '135', '143', '188', '210', '210', '230', '230', '248', '254', '259', '259', '259', '265', '265', '277', '277', '312', '321', '322', '340', '349', '379', '385', '397', '397', '428', '436', '451', '457', '463', '497']"
2848,calm,['497']
2849,calmar,"['489', '489', '489', '489', '489']"
2850,calmark,['489']
2851,cambior,['487']
2852,cambridg,['292']
2853,camco,['412']
2854,camdessu,['492']
2855,campaign,"['305', '348', '348', '348']"
2856,campbel,['251']
2857,can,['200']
2858,canada,"['018', '063', '078', '078', '078', '116', '136', '136', '136', '140', '140', '158', '197', '197', '207', '269', '355', '422', '436', '448', '459', '459', '459', '483', '483', '483', '483', '499', '499', '499', '499']"
2859,canadian,"['063', '078', '078', '078', '136', '136', '136', '151', '174', '282', '355', '355', '499']"
2860,canal,"['049', '049', '049']"
2861,canari,['200']
2862,cancel,"['171', '385']"
2863,cancer,"['028', '132', '132', '132', '132', '132', '132']"
2864,candid,['495']
2865,candidaci,['154']
2866,canron,['090']
2867,cap,"['138', '138', '445', '445', '457']"
2868,capabl,"['032', '055', '265', '386', '475']"
2869,capac,"['069', '078', '078', '255', '265', '265', '348', '348', '376', '445', '453', '453', '496']"
2870,capit,"['009', '012', '021', '021', '029', '045', '050', '054', '054', '054', '054', '054', '054', '056', '098', '098', '098', '107', '124', '127', '127', '130', '147', '157', '157', '162', '194', '235', '244', '244', '246', '261', '267', '267', '268', '270', '270', '270', '284', '284', '287', '287', '287', '287', '304', '349', '362', '377', '387', '389', '393', '395', '418', '434', '439', '445', '449', '461', '461', '466', '493', '494', '494', '494', '494']"
2871,capitl,['235']
2872,capitol,['497']
2873,captain,['437']
2874,caput,"['218', '445']"
2875,car,"['107', '107', '107', '107', '107', '175', '175', '211', '211', '211', '212', '212', '243', '243', '243', '305', '305', '305', '305', '305', '305', '305', '305', '305', '305', '305', '305', '305', '320', '320', '392', '436', '436', '441']"
2876,caraca,"['316', '383']"
2877,carbid,"['113', '304', '304', '304', '304', '304']"
2878,card,"['020', '020', '020', '020', '020', '020', '204', '204', '204']"
2879,care,"['045', '268', '379', '394', '394', '394']"
2880,cargo,"['158', '316', '378', '475']"
2881,caribbean,"['226', '226', '316', '475']"
2882,carl,"['201', '233']"
2883,carlo,['326']
2884,carload,"['175', '175']"
2885,carmak,"['243', '305', '305']"
2886,carniv,['001']
2887,carol,['123']
2888,carolina,"['117', '117']"
2889,carri,"['011', '028', '100', '158', '162', '266', '340', '373', '373', '376', '397', '428', '439', '454', '463', '498']"
2890,carrier,"['095', '376']"
2891,carrol,['133']
2892,carryforward,"['013', '192']"
2893,carryov,['064']
2894,carson,['465']
2895,cartel,['383']
2896,carton,['268']
2897,carvalho,['205']
2898,case,"['028', '028', '123', '123', '131', '132', '149', '201', '246', '377', '404', '451', '458']"
2899,casey,"['028', '028', '280']"
2900,cash,"['023', '023', '023', '023', '045', '045', '062', '097', '098', '123', '147', '157', '196', '201', '234', '234', '234', '234', '268', '268', '305', '324', '364', '389', '405', '465', '465', '489']"
2901,cash flow,['314']
2902,cashin,"['439', '439']"
2903,casi,['280']
2904,casino,"['261', '261', '261', '263']"
2905,caspar,"['028', '431', '495']"
2906,cast,['251']
2907,casualti,['276']
2908,catalog,"['331', '400']"
2909,catalogu,['265']
2910,catalyt,['491']
2911,catanduva,['326']
2912,catapult,['045']
2913,categori,['116']
2914,cater,['229']
2915,cathod,['022']
2916,cattl,"['442', '442']"
2917,caught,['155']
2918,caus,"['054', '121', '121', '139', '172', '201', '234', '234', '262', '268', '269', '277', '277', '311', '311', '349', '377', '385', '405', '496']"
2919,caution,['054']
2920,cautiou,"['195', '248', '494']"
2921,cautious,['254']
2922,cavaney,"['268', '268', '268', '268', '268', '268', '268', '268', '268', '268']"
2923,caw,['261']
2924,cazenov,['034']
2925,cbco,['011']
2926,cbm.n,['227']
2927,cbsi,['346']
2928,cbt,"['249', '330', '330', '330', '330', '493']"
2929,cc,['470']
2930,ccc,"['019', '019', '057', '057', '109', '109', '109', '152', '152', '152', '323', '323']"
2931,ccc minu,"['307', '307']"
2932,cci,['123']
2933,ccx,"['034', '034']"
2934,ccxn,['034']
2935,cd,"['273', '273', '471']"
2936,cd interact,['265']
2937,cd rom,"['265', '265', '265', '265', '265', '265', '265', '265', '265', '265', '265', '265']"
2938,cdin,['092']
2939,cdn,['465']
2940,cecil,['428']
2941,cede,['355']
2942,cedel,['246']
2943,cell,"['021', '139', '139', '139', '139', '139', '277']"
2944,cellular,"['327', '327', '327', '327']"
2945,cenergi,"['293', '293', '293']"
2946,censu,['410']
2947,cent,"['022', '022', '022', '092', '203', '254', '256', '266', '284', '336', '366', '434', '434']"
2948,center,"['097', '097', '098', '123', '123', '123', '132', '139', '229', '292']"
2949,centr,"['154', '399']"
2950,centraal,['262']
2951,central,"['028', '114', '156', '165', '208', '208', '208', '208', '208', '208', '235', '302', '302', '317', '383', '419', '419', '419', '419', '451', '471', '492', '494']"
2952,ceo,"['231', '231']"
2953,cepe,['256']
2954,cera,['292']
2955,cereal,"['332', '454', '473', '482']"
2956,cert,['234']
2957,certain,"['010', '044', '045', '157', '198', '201', '209', '232', '241', '256', '301', '320', '353', '354', '372', '469', '488']"
2958,certainli,['433']
2959,certif,"['001', '028', '094', '122', '234', '234', '234', '234', '234', '234', '234', '234', '234', '234', '234', '234', '234', '239', '273', '306', '306', '306', '306', '306', '306', '306', '471']"
2960,certifi,"['494', '494', '494']"
2961,cetu,['139']
2962,cfg 80c2,['163']
2963,cfm,['190']
2964,cfm56 5,['190']
2965,cftc,"['330', '330', '330', '330']"
2966,cg,['083']
2967,cgct,"['154', '154', '154', '154', '154', '154']"
2968,cge,"['153', '153', '153']"
2969,cgisplit=,['473']
2970,ch,['009']
2971,chain,"['078', '078', '224', '229']"
2972,chairman,"['018', '028', '052', '061', '061', '061', '061', '098', '102', '107', '155', '161', '195', '227', '231', '231', '231', '233', '234', '255', '261', '261', '263', '322', '330', '355', '392', '399', '404', '404', '404', '409', '420', '430', '438', '441', '457', '488', '492', '492', '494', '494']"
2973,chalk,['026']
2974,challeng,"['128', '247']"
2975,champion,"['009', '009']"
2976,chanc,"['123', '350', '409', '422']"
2977,chang,"['010', '045', '054', '075', '098', '114', '114', '123', '123', '180', '227', '230', '233', '235', '254', '284', '285', '285', '293', '330', '330', '394', '399', '422', '445', '447', '451', '462', '474', '498']"
2978,channel,"['153', '264', '357']"
2979,channon,"['259', '259']"
2980,chao,['028']
2981,chapter,['196']
2982,character,['292']
2983,charg,"['023', '041', '041', '117', '117', '149', '168', '184', '194', '194', '223', '254', '275', '445', '445', '445', '445', '445', '458', '458', '458', '474']"
2984,charl,"['051', '195']"
2985,charm,['485']
2986,chart,"['133', '133']"
2987,charter,"['044', '282']"
2988,cheap,['284']
2989,cheapest,['376']
2990,cheat,['292']
2991,check,"['137', '202', '208']"
2992,checker,['265']
2993,chem,"['045', '045']"
2994,chemic,"['194', '227', '304', '380', '380', '399']"
2995,chemlawn,"['045', '045', '045', '045', '045', '045', '045', '045', '045', '045', '045']"
2996,chen,['230']
2997,cherney,['111']
2998,chesebrough,"['227', '227']"
2999,chesebrough pond,['227']
3000,chevrolet,"['305', '305']"
3001,chi cheng,['114']
3002,chicago,"['018', '059', '059', '059', '059', '123', '194', '327', '330', '330', '330', '442']"
3003,chief,"['028', '098', '117', '161', '202', '231', '231', '242', '248', '261', '276', '404', '404', '420', '420', '420', '430', '430', '466', '492', '494', '495', '495']"
3004,child,"['139', '277', '277', '277', '277', '277', '277']"
3005,chile,"['026', '121', '200', '235']"
3006,chilean,['121']
3007,china,"['043', '067', '141', '141', '141', '229', '230', '230', '230', '230', '230', '317', '317', '317', '318', '318', '318', '318', '318', '318', '318', '371', '371', '371', '371', '376', '433', '497']"
3008,chine,"['067', '172', '172', '230', '230', '230', '230', '371']"
3009,chip,"['088', '088', '088', '088', '088', '206', '265', '265', '265', '265', '265', '265', '312']"
3010,chittagong,['378']
3011,choke,['451']
3012,choos,['028']
3013,chosen,['142']
3014,chr,['485']
3015,chri,"['020', '399']"
3016,christoph,['136']
3017,chrysler,"['243', '305', '305', '320', '320', '320', '320', '441', '441', '441', '441', '441', '441', '441', '441', '441', '441', '441', '441', '441']"
3018,chuquicamata,"['121', '121', '121', '121']"
3019,cie,"['153', '153', '153', '154', '154']"
3020,cigarett,"['371', '371', '371', '371', '375']"
3021,cinema,['369']
3022,cinram,['038']
3023,circuit,"['324', '324', '470', '470', '470', '470']"
3024,circul,"['078', '078', '110', '494']"
3025,circumst,"['004', '010', '016', '197', '201', '235', '301', '405']"
3026,cite,"['023', '056', '178', '229', '268', '279', '339', '340', '340', '459', '463', '463']"
3027,citgo,['334']
3028,citi,"['072', '078', '078', '080', '095', '125', '156', '229', '229', '229', '237', '246', '246', '258', '261', '276', '342', '379', '382', '406', '423', '423', '423', '445', '470', '470', '470', '470']"
3029,citibank,"['026', '492', '492']"
3030,citicorp,"['123', '123', '123', '123', '123', '123', '472']"
3031,citizen,['078']
3032,civil,['390']
3033,civilian,['123']
3034,cjn,['261']
3035,claim,"['095', '155', '311', '354', '459']"
3036,clair,"['444', '444', '444']"
3037,clarif,"['148', '150']"
3038,clarifi,['492']
3039,clark,"['136', '136', '136']"
3040,clash,['451']
3041,class,"['023', '023', '023', '086', '086', '192', '213', '226', '226', '226', '226', '226', '239', '263', '263', '263', '263', '263', '263', '264', '278', '369', '369', '396', '464', '464', '475', '490']"
3042,classifi,['229']
3043,clayton,"['218', '254']"
3044,clc,['180']
3045,cle,['444']
3046,clean,"['028', '089']"
3047,clean up,['428']
3048,cleaner,['136']
3049,clear,"['097', '097', '126', '244', '246', '246', '246', '261', '284', '340', '350', '379', '439', '462', '495', '497']"
3050,clearanc,['261']
3051,clearli,"['028', '208', '292']"
3052,client,"['265', '379']"
3053,climat,"['268', '269', '498']"
3054,clinic,['353']
3055,clmi,['489']
3056,clo,['177']
3057,close,"['095', '098', '107', '111', '133', '135', '150', '150', '153', '153', '154', '156', '156', '188', '194', '194', '204', '208', '208', '232', '254', '269', '269', '276', '318', '318', '322', '324', '371', '382', '382', '399', '419', '419', '419', '439', '446', '495']"
3058,closer,"['195', '292']"
3059,closur,['382']
3060,cloth,"['072', '257']"
3061,clri,['037']
3062,clt,['342']
3063,club,['138']
3064,cm,['156']
3065,cmb,"['322', '322', '322']"
3066,cme,"['330', '330', '330']"
3067,cmo,"['239', '239', '239', '239', '239']"
3068,cmw,['499']
3069,cng,['089']
3070,cnooc,"['318', '318']"
3071,co,"['002', '002', '004', '008', '012', '016', '018', '018', '021', '022', '025', '039', '039', '066', '070', '081', '098', '102', '103', '103', '105', '111', '111', '112', '112', '123', '123', '123', '123', '125', '142', '143', '154', '160', '163', '163', '171', '179', '185', '185', '194', '195', '209', '224', '227', '243', '246', '246', '260', '260', '265', '273', '273', '273', '274', '275', '289', '297', '298', '305', '327', '333', '334', '348', '354', '354', '358', '368', '368', '377', '380', '381', '391', '395', '395', '395', '398', '400', '401', '404', '418', '418', '418', '419', '419', '427', '428', '445', '445', '455', '456', '457', '467', '472', '475', '476', '480', '481', '488', '490', '490', '492', '499']"
3072,co manag,['359']
3073,co oper,['371']
3074,co ordin,['383']
3075,co own,"['125', '125', '445']"
3076,co sponsor,['020']
3077,coal,"['136', '164', '282', '425', '425', '436']"
3078,coast,['383']
3079,coastal,"['334', '360']"
3080,coat,"['277', '277']"
3081,coba,['129']
3082,cobanco,['011']
3083,coca,['102']
3084,coca cola,"['102', '111']"
3085,cochran,['111']
3086,cocoa,"['001', '001', '001', '001', '001', '001', '001']"
3087,code,['265']
3088,code nam,['095']
3089,cofab,"['068', '068', '068']"
3090,coffe,"['042', '042', '075', '118', '118', '118', '118', '284', '284', '288', '288', '288', '288', '288', '322', '322', '322', '322', '322', '322', '322', '322', '322', '322', '322', '322', '326', '422', '438', '438', '438']"
3091,coffee grow,['158']
3092,cogener,['113']
3093,cohn,"['004', '004', '016', '016', '123', '123', '123']"
3094,coincid,['230']
3095,coincident,['026']
3096,cola,['102']
3097,cold,"['385', '476']"
3098,coleco,"['177', '180', '180', '180', '180']"
3099,collaps,"['047', '207', '399', '437', '448']"
3100,collater,"['239', '389']"
3101,collect,"['254', '437']"
3102,colo,['350']
3103,colombia,"['118', '118', '209', '209', '209', '209']"
3104,colombian,['383']
3105,coloni,['119']
3106,colorado,['350']
3107,coloss,['495']
3108,colt,['310']
3109,columbia,"['083', '083', '083', '140', '197', '197', '197', '301']"
3110,combat,['208']
3111,combin,"['113', '160', '222', '265', '266', '277', '465', '472', '496']"
3112,combust,"['084', '142']"
3113,comdata,"['465', '465', '465', '465', '465', '465', '465', '465', '465']"
3114,come,"['001', '001', '004', '016', '028', '095', '123', '133', '133', '154', '194', '194', '208', '208', '223', '254', '265', '292', '348', '374', '376', '399', '431', '432', '437', '454', '495', '498']"
3115,cominco,"['342', '342', '342', '406', '406', '406', '406']"
3116,comissaria,"['001', '001', '001', '001', '001']"
3117,command,"['028', '028', '095', '098', '098', '276']"
3118,commenc,"['082', '129']"
3119,comment,"['028', '043', '080', '097', '098', '098', '107', '135', '150', '208', '208', '208', '208', '235', '235', '255', '262', '264', '286', '315', '315', '315', '439', '495']"
3120,commer,['125']
3121,commerc,"['003', '003', '003', '054', '129', '129', '129', '129', '129', '129', '136', '281', '281', '343', '377', '431']"
3122,commerci,"['045', '060', '076', '079', '079', '123', '163', '205', '230', '265', '267', '288', '288', '397', '409', '445', '451', '451', '461', '492']"
3123,commeric,['355']
3124,commisison,['117']
3125,commiss,"['001', '004', '007', '015', '016', '028', '035', '043', '049', '091', '121', '123', '125', '129', '171', '176', '183', '185', '187', '223', '233', '261', '261', '269', '269', '272', '272', '297', '310', '330', '349', '351', '352', '383', '442', '445', '445', '454', '457', '476', '495', '495', '495']"
3126,commission,"['330', '454', '457']"
3127,commit,"['026', '078', '136', '234', '235', '255', '256', '261', '261', '311', '316', '348', '374', '433', '447', '447', '465', '465', '479', '495']"
3128,committe,"['002', '026', '026', '060', '061', '061', '061', '061', '155', '155', '155', '155', '155', '155', '155', '191', '234', '235', '235', '254', '254', '254', '255', '302', '302', '314', '314', '314', '330', '330', '330', '330', '340', '340', '374', '409', '409', '409', '422', '422', '459', '459', '463', '489', '492', '492', '492', '492']"
3129,commod,"['019', '019', '057', '109', '109', '152', '152', '306', '306', '323', '330', '340', '340', '340', '340', '421', '448', '459', '463', '463', '463', '463']"
3130,common,"['009', '010', '010', '010', '015', '023', '033', '040', '070', '070', '074', '074', '074', '091', '091', '104', '105', '105', '105', '108', '124', '124', '129', '130', '135', '135', '171', '176', '176', '187', '188', '217', '226', '226', '226', '233', '251', '263', '263', '272', '278', '283', '289', '295', '296', '298', '298', '310', '322', '325', '325', '327', '333', '333', '344', '344', '346', '394', '404', '404', '461', '464', '465', '466', '466', '466', '478', '490']"
3131,commun,"['004', '016', '078', '128', '158', '218', '240', '247', '268', '269', '275', '312', '332', '346', '346', '346', '348', '348', '391', '451', '454', '457', '457', '462', '482']"
3132,communiqu,"['258', '269', '276']"
3133,commut,['361']
3134,comnon,['459']
3135,comod,['122']
3136,compact,"['211', '265', '265', '305']"
3137,compani,"['002', '007', '008', '009', '010', '010', '010', '010', '012', '015', '015', '017', '018', '018', '018', '019', '021', '023', '023', '023', '023', '023', '025', '032', '033', '034', '034', '034', '039', '045', '045', '045', '045', '045', '045', '045', '045', '045', '055', '056', '058', '068', '070', '074', '078', '078', '078', '078', '078', '078', '078', '078', '078', '078', '078', '083', '087', '087', '088', '088', '089', '098', '098', '098', '098', '098', '104', '106', '106', '109', '111', '112', '112', '117', '119', '120', '124', '124', '124', '126', '129', '130', '130', '135', '146', '154', '160', '163', '173', '174', '176', '178', '178', '180', '180', '183', '186', '188', '190', '194', '194', '195', '195', '195', '195', '195', '201', '201', '205', '205', '206', '209', '211', '217', '223', '223', '223', '224', '227', '227', '229', '229', '231', '232', '241', '242', '242', '242', '248', '254', '255', '255', '255', '255', '256', '260', '261', '261', '261', '261', '261', '264', '264', '264', '264', '264', '265', '268', '268', '277', '277', '277', '278', '278', '282', '283', '286', '286', '287', '290', '292', '293', '293', '294', '295', '297', '298', '301', '304', '305', '305', '307', '310', '318', '318', '319', '319', '319', '325', '325', '333', '333', '333', '334', '338', '348', '348', '348', '348', '348', '349', '349', '350', '350', '350', '351', '353', '355', '355', '355', '356', '376', '376', '376', '377', '379', '379', '379', '379', '379', '379', '379', '380', '383', '387', '387', '388', '392', '392', '392', '392', '392', '394', '395', '395', '395', '396', '400', '400', '402', '404', '404', '404', '404', '405', '405', '405', '408', '408', '408', '426', '428', '428', '428', '430', '431', '431', '436', '440', '444', '445', '445', '445', '445', '446', '446', '449', '449', '455', '459', '464', '465', '465', '466', '466', '466', '469', '469', '470', '474', '475', '478', '487', '488', '488', '491', '491', '493', '493', '493', '493', '497', '497', '499']"
3138,companion,['451']
3139,compaq,"['321', '321', '321']"
3140,compar,"['046', '048', '054', '054', '056', '062', '069', '069', '093', '093', '093', '137', '160', '165', '168', '169', '180', '200', '200', '200', '200', '207', '210', '214', '216', '234', '243', '262', '262', '262', '262', '262', '267', '274', '279', '279', '282', '284', '305', '305', '305', '313', '339', '339', '343', '347', '347', '364', '374', '377', '394', '400', '401', '432', '444', '445', '448', '450', '453', '453', '455', '456', '467', '470', '482', '496']"
3141,comparable stor,"['339', '467']"
3142,comparabvl,['470']
3143,comparison,"['059', '059', '059', '059', '277']"
3144,compat,['206']
3145,compatib,['348']
3146,compel,['305']
3147,compens,"['223', '235', '316', '451']"
3148,comper,['338']
3149,compet,"['045', '045', '107']"
3150,competit,"['209', '254', '254', '254', '254', '254', '262', '262', '268', '340', '340', '340', '376', '432', '451', '451', '451', '463', '463', '463', '463', '496']"
3151,competitively pr,"['207', '448']"
3152,competitor,"['107', '376', '457', '463']"
3153,compil,['244']
3154,complaint,"['128', '128', '247', '422']"
3155,complement,['124']
3156,complet,"['010', '010', '019', '044', '125', '142', '142', '146', '195', '196', '203', '203', '227', '227', '298', '298', '302', '314', '327', '327', '345', '345', '346', '355', '378', '388', '392', '392', '445', '445', '445', '446', '487']"
3157,compli,"['128', '201', '247', '311', '314']"
3158,complianc,['089']
3159,complic,['131']
3160,compon,"['098', '107', '376', '392']"
3161,compos,['087']
3162,comprehens,"['148', '254']"
3163,compris,"['165', '222', '372', '397', '410', '439', '465', '482', '482', '497']"
3164,compromis,['150']
3165,comptrol,['003']
3166,compulsorili,['446']
3167,comput,"['010', '010', '010', '010', '010', '010', '010', '037', '054', '054', '067', '088', '206', '206', '206', '265', '265', '265', '265', '265', '265', '265', '321', '321', '321', '321', '324', '376', '431', '431']"
3168,computer,"['265', '265']"
3169,computer assist,['348']
3170,computer gener,['017']
3171,computer rel,['033']
3172,conced,"['198', '457', '462']"
3173,conceiv,"['004', '016']"
3174,concentr,"['045', '227', '229', '249', '324', '426']"
3175,concept,"['135', '135', '457']"
3176,concern,"['131', '133', '208', '218', '340', '340', '391', '392', '431', '459', '463', '463', '492', '492', '496', '496']"
3177,concess,"['141', '222', '472']"
3178,conclud,"['260', '301']"
3179,concret,['255']
3180,condit,"['004', '010', '016', '017', '020', '040', '044', '104', '112', '116', '117', '156', '156', '160', '174', '188', '194', '201', '201', '201', '208', '217', '217', '261', '261', '262', '283', '292', '314', '325', '351', '355', '377', '385', '399', '405', '441', '465', '496', '496']"
3181,conduct,"['012', '028', '147', '277', '277', '342', '406', '408']"
3182,confeder,['379']
3183,confer,"['028', '107', '127', '127', '138', '158', '162', '235', '255', '488']"
3184,confid,"['157', '157', '157', '261', '497', '498']"
3185,configur,"['475', '475']"
3186,confin,['197']
3187,confirm,"['121', '246']"
3188,conform,['223']
3189,confront,['123']
3190,conglomer,['440']
3191,congress,"['028', '028', '028', '051', '061', '148', '148', '155', '230', '340', '340', '340', '463', '463', '494', '494', '497']"
3192,congression,"['155', '155', '198', '254', '254', '254', '340', '422', '463', '494']"
3193,congressman,"['155', '155']"
3194,conn,"['119', '195']"
3195,connect,"['012', '070']"
3196,connecticut,['136']
3197,conscienc,['495']
3198,consensu,['133']
3199,consent,"['087', '104', '201', '201', '217']"
3200,consequ,"['028', '495', '496']"
3201,conserv,"['051', '051', '122', '122', '122', '122', '122', '122', '249', '249', '249', '340', '340', '463', '463']"
3202,consid,"['029', '051', '078', '078', '078', '078', '098', '098', '098', '107', '155', '254', '254', '255', '310', '376', '422', '431', '431', '435', '447', '494', '497']"
3203,consider,"['012', '028', '227', '261', '261', '302', '340', '497']"
3204,consign,"['001', '001', '277']"
3205,consist,"['105', '298', '426', '466']"
3206,consit,['070']
3207,consolid,"['089', '089', '089', '264', '279', '308', '339', '439', '440', '494']"
3208,consortium,"['154', '162', '397', '488']"
3209,conspiraci,"['117', '149']"
3210,constant,"['262', '262']"
3211,constitut,"['028', '098', '404']"
3212,construct,"['113', '113', '154', '154', '235', '350', '376', '403']"
3213,constructor,['441']
3214,consult,"['136', '142', '234', '361', '497']"
3215,consum,"['020', '042', '118', '160', '204', '227', '243', '262', '268', '268', '279', '281', '312', '322', '339', '377', '386', '386', '386', '403', '457', '496']"
3216,consumm,"['408', '497']"
3217,consumpt,"['262', '269', '376', '410', '496', '496', '496']"
3218,contact,"['042', '045', '314']"
3219,contain,"['061', '088', '207', '265', '268', '381', '381', '381', '422', '448', '462']"
3220,contel,"['391', '391', '391', '391', '391']"
3221,contend,['028']
3222,contenpl,['379']
3223,contest,"['379', '474']"
3224,context,"['447', '493']"
3225,contig,['388']
3226,continent,"['356', '356']"
3227,conting,['140']
3228,continu,"['001', '004', '010', '015', '015', '016', '023', '028', '032', '054', '055', '056', '114', '121', '124', '126', '145', '156', '174', '174', '196', '231', '243', '262', '262', '266', '266', '268', '276', '283', '287', '301', '305', '328', '340', '340', '385', '386', '399', '399', '399', '403', '407', '420', '436', '441', '447', '457', '463', '463', '476', '494', '495', '496']"
3229,contra,"['198', '198']"
3230,contracept,"['132', '132', '132', '132', '132']"
3231,contract,"['044', '044', '067', '072', '072', '073', '073', '113', '113', '113', '133', '133', '133', '142', '142', '142', '142', '171', '178', '178', '209', '209', '209', '209', '209', '255', '318', '318', '318', '318', '318', '357', '357', '357', '357', '389', '403', '407', '407', '407', '421', '427', '427', '429', '429', '445', '493', '499']"
3232,contractor,"['376', '376']"
3233,contrari,['098']
3234,contribut,"['098', '098', '147', '158', '268', '342', '395', '399', '406', '496', '496']"
3235,control,"['010', '028', '028', '028', '028', '028', '032', '032', '055', '055', '095', '132', '132', '132', '132', '154', '157', '201', '202', '202', '202', '230', '254', '261', '261', '261', '263', '292', '351', '355', '375', '434', '451', '495', '495', '498']"
3236,controversi,['254']
3237,conven,['322']
3238,conveni,['319']
3239,convers,"['004', '016', '124', '135', '246', '325']"
3240,convert,"['001', '004', '015', '016', '104', '124', '129', '135', '135', '162', '162', '162', '183', '196', '196', '228', '265', '270', '289', '295', '296', '296', '297', '352', '389', '404', '423', '435', '435', '435', '441', '465', '466', '466', '476', '491']"
3241,convinc,"['032', '055']"
3242,cook,['200']
3243,cool,"['068', '155', '322', '433']"
3244,cooper,"['207', '208', '269', '376', '441', '447', '447', '448', '496']"
3245,coordin,['134']
3246,copani,['178']
3247,copolym,['354']
3248,copper,"['022', '022', '022', '121', '121', '459']"
3249,copper/gold,['434']
3250,copperbelt,['158']
3251,cor,"['137', '349']"
3252,coradian,['092']
3253,cordero,['314']
3254,cordovez,"['314', '314', '314', '314']"
3255,core,"['124', '227', '227']"
3256,corfp,['290']
3257,corn,"['005', '057', '057', '057', '122', '122', '122', '122', '122', '122', '249', '249', '249']"
3258,corn/sorghum,['005']
3259,coron,['434']
