,Words,Total Frequency
1727,5.4,2
1728,fed,20
1729,tighten,3
1730,unless,6
1731,predict,6
1732,easter,7
1733,recess,5
1734,global,4
1735,15:56:00.50,1
1736,15:57:48.22,1
1737,balanc,24
1738,graphic,2
1739,june,24
1740,run,10
1741,correspond,2
1742,prior-year,1
1743,630,1
1744,begin,31
1745,divis,15
1746,introduct,6
1747,engin,15
1748,expenditur,5
1749,45-50,1
1750,alloc,1
1751,30-40,1
1752,revenu,24
1753,15:58:07.34,1
1754,hondura,2
1755,switch,3
1756,earmark,1
1757,edibl,4
1758,coverag,2
1759,"500,000",3
1760,15:58:19.46,1
1761,yesterday,20
1762,236.90,1
1763,91,1
1764,356,1
1765,66.19,1
1766,198,1
1767,purpos,12
1768,212.5,1
1769,62.94,1
1770,92,2
1771,broker-deal,1
1772,151.9,1
1773,107.77,1
1774,15:58:47.73,1
1775,gulf,11
1776,barg,4
1777,freight,2
1778,steadi,3
1779,load,8
1780,demand,36
1781,suppli,27
1782,dealer,12
1783,st,7
1784,loui,2
1785,merchant,6
1786,session,8
1787,29,7
1788,quot,17
1789,illinoi,5
1790,river,13
1791,joliet,1
1792,135,2
1793,tariff,8
1794,bid/140,3
1795,ex,3
1796,2-1/2,2
1797,mississippi,3
1798,120,5
1799,bid/127-1/2,1
1800,owensboro/south,1
1801,125,8
1802,bid/132-1/2,1
1803,7-1/2,3
1804,station,5
1805,comparison,5
1806,132-1/2,2
1807,memphis/cairo,2
1808,112-1/2,1
1809,bid/120,1
1810,bid/107-1/2,1
1811,sept/nov,1
1812,137-1/2,1
1813,bid/145,1
1814,sept/dec,1
1815,section,4
1816,bid/135,1
1817,16:03:15.46,1
1818,deputi,5
1819,2.15,5
1820,rule,35
1821,radic,2
1822,raul,1
1823,baglini,4
1824,local,7
1825,discard,3
1826,moratorium,6
1827,observ,1
1828,steer,3
1829,320,1
1830,del,3
1831,plata,1
1832,telephon,20
1833,interview,9
1834,divid,1
1835,108,3
1836,prime,5
1837,object,12
1838,renegoti,4
1839,maintain,5
1840,pocket,1
1841,16:04:05.90,1
1842,key,15
1843,write,5
1844,deduct,4
1845,employe,11
1846,ownership,5
1847,adopt,2
1848,transact,22
1849,dan,1
1850,rostenkowski,2
1851,d-ill,1
1852,rep,2
1853,duncan,2
1854,r-tenn,1
1855,lloyd,6
1856,bentsen,3
1857,d-tex,1
1858,bob,1
1859,packwood,1
1860,r-ore,1
1861,enact,2
1862,governmet,1
1863,narrow,2
1864,300,16
1865,sham,1
1866,allow,27
1867,esop,1
1868,contain,11
1869,provis,9
1870,wealthi,2
1871,entir,3
1872,die,4
1873,encourag,9
1874,worker,13
1875,;,1
1876,meant,4
1877,modif,2
1878,16:04:57.16,1
1879,treasuri,28
1880,4.151,1
1881,2.727,1
1882,budget,22
1883,25.137,1
1884,25.780,1
1885,respect,16
1886,29.289,1
1887,28.507,1
1888,24,9
1889,16:05:36.23,1
1890,temporari,8
1891,canadian,13
1892,minist,46
1893,michael,7
1894,600,5
1895,thursday,9
1896,auction,4
1897,permit,9
1898,grant,14
1899,parliament,2
1900,ottawa,5
1901,parliamentari,2
1902,16:06:36.68,1
1903,appli,13
1904,gat,2
1905,12.2,2
1906,owe,7
1907,carryov,1
1908,16:07:14.07,1
1909,fgrp,1
1910,80,8
1911,"55,513,000",1
1912,"48,741,000",1
1913,290.9,1
1914,264.2,1
1915,3.09,1
1916,2.72,1
1917,"213,470,000",1
1918,"184,649,000",1
1919,1.12,2
1920,992.9,1
1921,"69,127,000",1
1922,"68,004,000",1
1923,16:07:27.81,1
1924,potomac,2
1925,pom,2
1926,"13,555,000",1
1927,"14,635,000",1
1928,"104,606,000",1
1929,"110,311,000",1
1930,47.2,1
1931,47.1,3
1932,4.10,2
1933,3.66,2
1934,"226,653,000",1
1935,"186,790,000",1
1936,1.3,5
1937,virginia,3
1938,territori,4
1939,dominion,1
1940,16:08:15.22,1
1941,springboard,3
1942,spbd,1
1943,softwar,8
1944,programm,11
1945,supervisor,1
1946,technic,5
1947,personnel,3
1948,san,5
1949,francisco,2
1950,shanghai,3
1951,employ,6
1952,chine,8
1953,specialist,3
1954,16:08:33.15,1
1955,cofab,3
1956,gulfex,2
1957,undisclos,3
1958,amount,41
1959,houston-bas,1
1960,fabric,3
1961,high-pressur,1
1962,energi,21
1963,petrochem,3
1964,cool,4
1965,lubric,1
1966,ga,47
1967,pulp,4
1968,paper,31
1969,marin,9
1970,16:10:43.67,1
1971,crush,6
1972,"21,782,929",2
1973,bushel,6
1974,nspa,4
1975,"22,345,718",1
1976,"16,568,000",1
1977,capac,13
1978,"25,873,904",2
1979,"25,459,238",1
1980,meal,4
1981,"117,866",1
1982,"121,168",1
1983,"84,250",1
1984,16:11:21.94,1
1985,schult,6
1986,dlrs/unit,1
1987,"833,334",2
1988,janney,2
1989,montgomey,1
1990,scott,5
1991,woolcott,2
1992,consit,1
1993,one-half,3
1994,5.50,2
1995,thereaft,3
1996,6.50,2
1997,over-allot,1
1998,option,15
1999,"125,000",2
2000,inland,4
2001,urban,1
2002,elkhart,1
2003,16:12:01.46,1
2004,tultex,1
2005,ttx,1
2006,16:13:04.20,1
2007,burlington,4
2008,bur,1
2009,30.5,2
2010,menswear,1
2011,citi,28
2012,3.69,2
2013,yard,1
2014,tropic,1
2015,cloth,2
2016,logist,2
2017,16:13:36.47,1
2018,rockwel,8
2019,rok,2
2020,28.3,3
2021,b-1,1
2022,b-1b,1
2023,bomber,1
2024,air,11
2025,16:14:23.26,1
2026,atico,2
2027,atfc,1
2028,5.92,1
2029,"1,142,000",1
2030,16.0,2
2031,24.2,1
2032,90,9
2033,6.20,1
2034,"3,320,000",1
2035,16.9,1
2036,45.00,1
2037,26.2,1
2038,98.8,1
2039,peninsula,1
2040,5.86,1
2041,pan,8
2042,ncnb,1
2043,purus,1
2044,16:15:51.34,1
2045,modifi,5
2046,tonight,3
2047,formal,7
2048,eight-memb,1
2049,splinter,1
2050,share-out,1
2051,16:16:52.92,1
2052,375,2
2053,16:17:21.41,1
2054,discount,12
2055,window,4
2056,16:18:41.47,1
2057,quebecor,9
2058,pqb,1
2059,print,6
2060,newspap,24
2061,montreal,3
2062,pierr,1
2063,peladeau,14
2064,quebec,5
2065,donohu,5
2066,ahead,9
2067,mill,7
2068,matan,2
2069,decis,19
2070,446,1
2071,16.2,2
2072,tabloid,2
2073,le,1
2074,journal,7
2075,second-largest,1
2076,circul,4
2077,english-,1
2078,sixth,1
2079,crowd,1
2080,metropolitan,1
2081,indic,14
2082,english,1
2083,advertis,6
2084,togeth,5
2085,famili,3
2086,reciev,1
2087,decid,9
2088,prelud,1
2089,possibl,22
2090,someth,3
2091,el,2
2092,maxwel,5
2093,bpcl.l,1
2094,team,6
2095,govvern,1
2096,165,2
2097,49,6
2098,1976,2
2099,77,3
2100,tremend,4
2101,newsprint,4
2102,live,6
2103,"100,000",4
2104,metric,2
2105,britain,8
2106,mirror,1
2107,170,3
2108,machin,6
2109,nyt.a,1
2110,"540,000",1
2111,amo,3
2112,either,8
2113,400-500,1
2114,stream,1
2115,unemploy,12
2116,heavili,5
2117,subsid,8
2118,franc,26
2119,plant,46
2120,look,8
2121,empir,4
2122,son,1
2123,french,29
2124,citizen,1
2125,entre,1
2126,start,30
2127,chain,4
2128,small,18
2129,provinc,2
2130,list,17
2131,16:20:06.60,1
2132,195,2
2133,65.06,1
2134,114,1
2135,65.89,1
2136,336.63,1
2137,16:20:50.93,1
2138,n.i,1
2139,wednesday,15
2140,mark,11
2141,two-week,4
2142,few,4
2143,1630,1
2144,est,4
2145,2130,1
2146,gmt,3
2147,16:23:47.79,1
2148,philippin,3
2149,distanc,5
2150,phi,1
2151,95.30,1
2152,peso,8
2153,29.71,1
2154,61.11,1
2155,18.49,1
2156,1.9,3
2157,779,1
2158,6.1,1
2159,4.7,4
2160,20.792,1
2161,16:25:23.18,1
2162,liberti,3
2163,all-star,3
2164,note:1986,3
2165,commenc,2
2166,novebm,1
2167,16:25:42.65,1
2168,columbia,8
2169,cg,1
2170,redeem,15
2171,debentur,33
2172,princip,30
2173,9-1/8,2
2174,seri,7
2175,1996,3
2176,10-1/4,2
2177,1999,2
2178,mandatori,3
2179,sink,6
2180,redempt,6
2181,16:26:09.46,1
2182,combust,2
2183,csp,2
2184,16,19
2185,16:27:07.38,1
2186,tonka,1
2187,tka,1
2188,1.7,3
2189,16:29:15.25,1
2190,bdm,3
2191,qtrli,3
2192,14,16
2193,12.1,4
2194,10.4,4
2195,16:29:19.68,1
2196,sorg,4
2197,srg,1
2198,compos,1
2199,one-third,1
2200,without,13
2201,consent,5
2202,boston,7
2203,advisor,3
2204,aim,16
2205,16:29:30.05,1
2206,instrument,7
2207,txn,3
2208,chip,13
2209,32-bit,1
2210,specif,9
2211,artifici,5
2212,microprocessor,1
2213,measur,18
2214,one-centimet,1
2215,squar,2
2216,"553,687",1
2217,transistor,1
2218,densest,1
2219,ever,3
2220,lisp,1
2221,langugag,1
2222,wide,9
2223,version,9
2224,16:29:56.33,1
2225,consolid,10
2226,cng,1
2227,broken,2
2228,transmiss,2
2229,complianc,1
2230,regul,14
2231,regard,4
2232,dispos,6
2233,polychlorin,1
2234,biphenyl,1
2235,pcb,2
2236,earthen,1
2237,pit,1
2238,environment,2
2239,16:31:44.49,1
2240,ivaco,4
2241,1.11,2
2242,1.04,2
2243,"44,092,000",1
2244,"35,145,000",1
2245,1.94,4
2246,1.34,3
2247,"1,035,000",1
2248,canron,1
2249,16:32:37.30,1
2250,cyclop,3
2251,cyl,1
2252,affili,11
2253,"260,500",1
2254,"370,500",1
2255,9.2,1
2256,"110,000",1
2257,16:33:15.81,1
2258,coradian,1
2259,cdin,1
2260,"363,000",1
2261,"197,000",1
2262,"3,761,000",1
2263,"2,666,000",1
2264,"129,000",2
2265,"1,715,000",1
2266,11.4,3
2267,10.9,1
2268,"10,694,081",1
2269,"4,673,253",1
2270,16:35:16.02,1
2271,year-on-year,1
2272,30.6,1
2273,26.3,1
2274,34.5,1
2275,17.18,1
2276,16.74,1
2277,13.16,1
2278,16:38:46.25,1
2279,upland,8
2280,cotton,16
2281,prevail,4
2282,locat,7
2283,strict,4
2284,1-1/16,2
2285,inch,6
2286,52.69,1
2287,midnight,1
2288,5,4
2289,lubbock,1
2290,handler,1
2291,northern,9
2292,european,18
2293,66.32,1
2294,mkt,1
2295,10.42,1
2296,slm,1
2297,1.80,5
2298,0.53,1
2299,sum,2
2300,12.75,1
2301,53.57,1
2302,16:40:00.82,1
2303,offens,9
2304,war,7
2305,iraq,15
2306,baghdad,4
2307,iranian,13
2308,irna,2
2309,london,29
2310,code-nam,1
2311,karbala-5,1
2312,statew,1
2313,armi,9
2314,revolutionari,3
2315,guard,3
2316,dealt,1
2317,severest,1
2318,iraqi,6
2319,histori,3
2320,iraq-impos,1
2321,herald,1
2322,close,38
2323,assault,1
2324,basra,9
2325,southern,16
2326,spread,4
2327,extens,4
2328,propaganda,1
2329,claim,5
2330,massiv,3
2331,victori,2
2332,seven-week,1
2333,discontinu,7
2334,totter,1
2335,regim,1
2336,liber,3
2337,155,2
2338,kilomet,1
2339,enemy-occupi,1
2340,island,4
2341,township,1
2342,road,6
2343,81,2
2344,brigad,2
2345,battalion,1
2346,destroy,3
2347,700,5
2348,tank,3
2349,"1,500",1
2350,vehicl,6
2351,warplan,1
2352,down,2
2353,anti-,1
2354,aircraft,12
2355,gun,1
2356,400,13
2357,piec,1
2358,hardwar,2
2359,seizur,1
2360,220,4
2361,armour,1
2362,carrier,2
2363,16:40:34.32,1
2364,meridian,1
2365,mrdn,1
2366,16:41:34.44,1
2367,310,2
2368,131,1
2369,614,1
2370,304,1
2371,451,1
2372,free,9
2373,644,1
2374,brief,3
2375,singl,9
2376,miss,5
2377,float,15
2378,strang,1
2379,weather,6
2380,500,20
2381,nearli,6
2382,spokeman,1
2383,750,2
2384,holdov,1
2385,separ,5
2386,district,5
2387,whole,6
2388,tuesday,10
2389,correct,3
2390,unrel,1
2391,letter,16
2392,error,1
2393,differ,2
2394,clear,16
2395,wire,1
2396,2000,1
2397,2100,1
2398,center,10
2399,region,11
2400,excess,7
2401,monday,5
2402,deficit,30
2403,wedndsday,1
2404,avearg,1
2405,16:43:13.65,1
2406,spinnoff,1
2407,silent,1
2408,rumor,7
2409,spinoff,6
2410,unhappi,1
2411,lift,1
2412,partial,5
2413,therebi,2
2414,72-5/8,1
2415,4-1/8,1
2416,heavi,11
2417,volum,15
2418,analysts',1
2419,fuel,8
2420,undervalu,3
2421,fulli,12
2422,elev,1
2423,jefferi,1
2424,lane,1
2425,vacant,1
2426,specul,2
2427,contrari,1
2428,variat,1
2429,disagre,1
2430,contribut,11
2431,highli,7
2432,unlik,10
2433,perrin,1
2434,lipper,1
2435,analyt,2
2436,might,16
2437,other,6
2438,spin,2
2439,larri,2
2440,eckenfeld,2
2441,prudential-bach,1
2442,fetch,1
2443,premium,5
2444,worth,16
2445,3.5,9
2446,bilion,2
2447,enorm,1
2448,realist,1
2449,valuat,1
2450,abil,8
2451,kind,4
2452,endeavor,1
2453,e.f,5
2454,hutton,6
2455,lewi,4
2456,outlin,6
2457,fact,4
2458,goe,3
2459,arena,1
2460,preclud,2
2461,divestitur,1
2462,exposur,7
2463,brokerag,9
2464,true,1
2465,water,2
2466,lesser,1
2467,compon,4
2468,multipl,1
2469,316,1
2470,after-tax,4
2471,16:44:35.29,1
2472,m-1,6
2473,2.1,6
2474,736.7,1
2475,734.6,1
2476,734.2,1
2477,four-week,5
2478,735.0,1
2479,733.5,1
2480,anywher,1
2481,2.3,5
2482,forecast,34
2483,16:45:08.59,1
2484,bind,3
2485,gbnd,1
2486,agreement,65
2487,reach,23
2488,varitron,2
2489,merlin,1
2490,portabl,1
2491,battery-oper,1
2492,adhesive-back,1
2493,tape,2
2494,16:45:44.50,1
2495,usa,2
2496,fluctuat,3
2497,16:47:45.09,1
2498,coca,1
2499,cola,1
2500,ko,1
2501,film,5
2502,coca-cola,2
2503,entertain,1
2504,heyman,1
2505,1963,1
2506,16:47:53.20,1
2507,ford,9
2508,motor,21
2509,f,6
2510,4.0,3
2511,8.70,1
2512,date,16
2513,accru,2
2514,select,5
2515,pro,3
2516,rata,2
2517,16:48:02.07,1
2518,sterl,9
2519,ssw,1
2520,ok,1
2521,sernior,1
2522,discret,1
2523,16:48:18.55,1
2524,montgomeri,5
2525,consist,4
2526,entitl,4
2527,3-mar-1987,70
2528,09:18:21.26,1
2529,sandoz,4
2530,weedkil,1
2531,ussr,3
2532,ag,7
2533,soviet,26
2534,intent,11
2535,ministri,20
2536,fertilis,1
2537,undertaken,1
2538,western,12
2539,size,4
2540,output,28
2541,5-mar-1987,77
2542,09:07:54.17,1
2543,jaguar,8
2544,model,5
2545,jagr.l,1
2546,xj-6,3
2547,japanes,19
2548,recept,1
2549,u.k,12
2550,sir,1
2551,egan,4
2552,turnov,3
2553,830.4,1
2554,stg,45
2555,pre-tax,4
2556,120.8,1
2557,121.3,1
2558,kept,1
2559,"25,000",2
2560,"47,000",2
2561,edward,3
2562,car,34
2563,german,13
2564,competitor,4
2565,umbrella,2
2566,luxuri,2
2567,hedg,1
2568,receipt,8
2569,12-month,1
2570,roll,1
2571,train,4
2572,591p,1
2573,611p,1
2574,09:18:26.80,1
2575,occident,8
2576,09:19:43.22,1
2577,bonus,2
2578,116.84,1
2579,15-april,1
2580,"12,500",2
2581,1-may,1
2582,peavey,1
2583,"175,000",1
2584,init,1
2585,7,7
2586,9-mar-1987,62
2587,04:58:41.12,1
2588,england,12
2589,liquid,10
2590,take-up,1
2591,drain,2
2592,1.02,2
2593,bankers',1
2594,140,2
2595,add,6
2596,345,1
2597,exchequ,1
2598,inflow,8
2599,545,1
2600,11-mar-1987,47
2601,18:04:17.59,1
2602,inco,10
2603,dow,4
2604,jone,2
2605,ken,1
2606,cherney,1
2607,repli,6
2608,queri,2
2609,1-3/8,2
2610,19-3/8,1
2611,toronto,1
2612,non-communist,1
2613,nickel,3
2614,1928,1
2615,owens-illinoi,1
2616,boe,8
2617,ilmar,1
2618,marten,2
2619,walwyn,1
2620,stodgel,1
2621,cochran,1
2622,murray,1
2623,spark,1
2624,short-term,7
2625,suddenli,1
2626,seriou,10
2627,long-term,9
2628,struggl,2
2629,sharpli,5
2630,52.2,1
2631,13-mar-1987,61
2632,15:05:02.92,1
2633,plm,4
2634,plma,1
2635,sunlaw,2
2636,beverli,1
2637,hill,6
2638,calif,2
2639,dilig,1
2640,satisfactori,2
2641,16:48:26.74,1
2642,fluor,3
2643,flr,1
2644,construct,8
2645,carbid,6
2646,uk,3
2647,procur,2
2648,megawatt,1
2649,combin,9
2650,cycl,2
2651,cogener,1
2652,seadrift,1
2653,09:19:31.96,1
2654,taiwan,17
2655,textil,8
2656,maker,11
2657,plea,1
2658,chi-cheng,1
2659,stop,10
2660,korea,14
2661,hong,8
2662,kong,8
2663,singapor,2
2664,tell,3
2665,saturday,4
2666,appreci,6
2667,09:22:57.75,1
2668,nord,1
2669,nrd,1
2670,"2,656,000",1
2671,"1,712,000",1
2672,15.4,3
2673,"9,443,000",1
2674,14.1,1
2675,98,2
2676,13.8,2
2677,"8,928,000",1
2678,58.8,1
2679,48.5,1
2680,14.0,2
2681,11.6,3
2682,3-for-2,2
2683,05:03:09.75,1
2684,invit,2
2685,categori,1
2686,intervent,11
2687,7-3/4,4
2688,stabilis,4
2689,7-1/4,1
2690,2,5
2691,7-11/16,1
2692,18:06:47.22,1
2693,carolina,2
2694,emp,1
2695,exec,1
2696,sentenc,3
2697,mason,3
2698,benson,3
2699,toy,2
2700,manhattan,1
2701,jail,1
2702,kickback,2
2703,scheme,2
2704,guilti,1
2705,conspiraci,2
2706,evas,1
2707,fals,2
2708,defraud,2
2709,fine,5
2710,"5,000",4
2711,turn,9
2712,commisison,1
2713,15:08:53.08,1
2714,colombia,6
2715,grower,3
2716,gilberto,1
2717,arango,1
2718,respond,10
2719,emerg,12
2720,organis,12
2721,re-introduct,1
2722,16:48:35.83,1
2723,suffield,5
2724,sfcp,1
2725,jon,1
2726,googel,1
2727,benjamin,1
2728,sisti,1
2729,coloni,1
2730,hartford,1
2731,conn,2
2732,"175,900",1
2733,"3,416,624",1
2734,5.2,1
2735,09:20:23.32,1
2736,fsi,1
2737,nfsi,1
2738,"166,000",1
2739,"580,000",1
2740,"3,772,000",1
2741,"5,545,000",1
2742,52,6
2743,"391,000",1
2744,"1,425,000",1
2745,16.6,1
2746,forma,1
2747,reeacquisit,1
2748,august,8
2749,09:23:44.74,1
2750,quak,5
2751,chuquicamata,4
2752,earthquak,12
2753,hit,11
2754,open-end,2
2755,richter,1
2756,scale,4
2757,guillermo,1
2758,barcelo,1
2759,usual,2
2760,chilean,1
2761,santiago,1
2762,confirm,2
2763,15:11:52.98,1
2764,10.572,1
2765,"10,572,402",2
2766,cropland,1
2767,signup,4
2768,"101,020",1
2769,submit,5
2770,"11,254,837",3
2771,rental,4
2772,51.17,2
2773,inelig,1
2774,ten,5
2775,perman,7
2776,"1,894,764",2
2777,acreag,2
2778,advantag,6
2779,comod,1
2780,asc,5
2781,yield,9
2782,approxim,4
2783,1.225,1
2784,iowa,1
2785,1.030,1
2786,minnesota,1
2787,"890,000",1
2788,montana,1
2789,"875,000",1
2790,kansa,5
2791,"842,000",1
2792,missouri,2
2793,"646,000",1
2794,dakota,1
2795,"588,000",1
2796,nebraska,1
2797,"554,000",1
2798,belt,2
2799,indiana,2
2800,"217,000",1
2801,"116,000",1
2802,"19,488,587",2
2803,45.52,1
2804,15:13:01.16,1
2805,pose,2
2806,thorni,1
2807,citicorp,7
2808,cci,1
2809,dig,1
2810,heel,2
2811,tough,4
2812,pre-negoti,1
2813,postur,1
2814,carol,1
2815,berger,3
2816,cyru,1
2817,j,3
2818,refer,7
2819,non-perform,4
2820,statu,2
2821,8-k,1
2822,ca,2
2823,scare,1
2824,treat,5
2825,assert,2
2826,politick,1
2827,drive,3
2828,wedg,2
2829,resolv,4
2830,ultim,4
2831,monetari,9
2832,auster,2
2833,mostli,1
2834,fraction,1
2835,trader,6
2836,bounc,1
2837,stride,1
2838,riski,1
2839,fundament,5
2840,gordon,2
2841,hanov,3
2842,mhc,1
2843,j.p,2
2844,morgan,11
2845,jpm,1
2846,trust,10
2847,bt,1
2848,happen,3
2849,mere,1
2850,chanc,4
2851,frederick,1
2852,meink,2
2853,confront,1
2854,replay,1
2855,non-accru,2
2856,distort,2
2857,pattern,2
2858,write-off,1
2859,worst-cas,1
2860,outcom,3
2861,diversifi,5
2862,upheav,1
2863,civilian,1
2864,latin,2
2865,fiddl,1
2866,hour,10
2867,none,4
2868,re-classif,1
2869,poi,3
2870,ralli,3
2871,fnb,1
2872,prematur,4
2873,thing,4
2874,15:13:10.18,1
2875,repurchas,8
2876,bought,9
2877,461,2
2878,18.1,2
2879,672,1
2880,integr,4
2881,goal,5
2882,complement,1
2883,aggress,2
2884,core,3
2885,15:14:20.63,1
2886,vogtl,10
2887,nuclear,14
2888,full-pow,4
2889,georgia,12
2890,co-own,3
2891,pre-oper,1
2892,commer,1
2893,olgethorp,1
2894,municp,1
2895,dalton,2
2896,15:19:10.06,1
2897,airway,12
2898,bab,1
2899,fli,1
2900,tokyo,11
2901,non-stop,3
2902,traffic,5
2903,flight,7
2904,across,2
2905,siberia,1
2906,shave,2
2907,path,1
2908,trans-siberian,1
2909,rout,7
2910,leav,8
2911,heathrow,1
2912,sunday,1
2913,15:20:20.42,1
2914,timet,1
2915,adequaci,2
2916,nikkei,1
2917,vice-minist,1
2918,toyoo,1
2919,gyohten,1
2920,15:21:39.08,1
2921,meat,18
2922,complaint,4
2923,ame,8
2924,retali,7
2925,inspect,3
2926,c,11
2927,manli,2
2928,molpu,4
2929,petit,5
2930,challeng,2
2931,ban,3
2932,subcommitte,9
2933,livestock,5
2934,301,2
2935,ec,23
2936,compli,5
2937,korean,5
2938,upheld,1
2939,15:21:47.30,1
2940,coba,1
2941,"575,000",1
2942,"75,000",2
2943,allot,1
2944,20-22,1
2945,early-to-mid,1
2946,butcher,1
2947,singer,5
2948,15:21:53.56,1
2949,adia,6
2950,s.a,7
2951,74.7,1
2952,72.7,1
2953,retir,8
2954,18:09:39.66,1
2955,doctor,4
2956,aid,33
2957,smallpox,5
2958,viru,4
2959,discoveri,2
2960,complic,1
2961,search,1
2962,vaccin,7
2963,uncov,1
2964,potentially-fat,1
2965,interact,1
2966,physician,1
2967,walter,1
2968,reed,3
2969,19-year-old,1
2970,appar,5
2971,expo,2
2972,pox-lik,1
2973,diseas,18
2974,recruit,2
2975,medicin,4
2976,scientist,2
2977,reli,3
2978,provoc,1
2979,concern,16
2980,safeti,3
2981,dr,2
2982,redfield,1
2983,throw,3
2984,belief,2
2985,milder,1
2986,know,10
2987,cowpox,1
2988,host,6
2989,18:13:59.93,1
2990,birth,3
2991,pill,5
2992,atlanta,1
2993,ovari,1
2994,found,6
2995,oral,5
2996,contracept,5
2997,ovarian,4
2998,"1,700",2
2999,1982,1
3000,woman,2
3001,age,3
3002,risk,10
3003,epitheli,2
3004,wit,1
3005,incid,2
3006,ori,1
3007,percent,1
3008,54,5
3009,becom,11
3010,persist,3
3011,moreov,2
3012,exist,12
3013,regardless,2
3014,formul,1
3015,18:14:49.93,1
3016,break,8
3017,3-1/2,1
3018,retail,22
3019,healthi,3
3020,resili,1
3021,bond,28
3022,barney,2
3023,upham,2
3024,craig,2
3025,sloan,3
3026,chart,2
3027,particip,9
3028,everyon,2
3029,bad,5
3030,consensu,1
3031,non-auto,2
3032,karen,1
3033,gibb,2
3034,0.8,3
3035,1.2,4
3036,0.5,3
3037,fill,1
3038,gap,2
3039,100-26/32,1
3040,101-3/32,1
3041,100-4/32,1
3042,crude,26
3043,carrol,1
3044,mcente,1
3045,mcginley,1
3046,approach,2
3047,102,2
3048,cours,4
3049,pull,1
3050,littl,4
3051,surg,2
3052,jim,3
3053,rozich,3
3054,18.50,1
3055,barrel,31
3056,99-6/32,1
3057,quit,3
3058,jump,4
3059,bullish,2
3060,bandwagon,1
3061,juri,1
3062,18:15:09.97,1
3063,sub-saharan,4
3064,africa,12
3065,focus,2
3066,self-help,1
3067,hunger,1
3068,burden,3
3069,african,9
3070,reward,2
3071,enabl,5
3072,mobil,7
3073,voluntari,1
3074,humanitarian,1
3075,donor,3
3076,fund/world,1
3077,coordin,1
3078,framework,1
3079,structur,2
3080,bilater,2
3081,focu,6
3082,flexibl,5
3083,assist,11
3084,18:16:09.87,1
3085,unusu,2
3086,novel,1
3087,three-part,1
3088,225,1
3089,sole,6
3090,concept,3
3091,tranch,8
3092,2.85,2
3093,190,2
3094,4.36,1
3095,33,5
3096,4.49,1
3097,235,1
3098,167.25,1
3099,2-1/8,1
3100,ronald,1
3101,gallatin,3
3102,unbeliev,1
3103,especi,4
3104,featur,7
3105,wrinkl,1
3106,4.20,1
3107,gradual,1
3108,intens,1
3109,virtual,3
3110,latter,1
3111,strongli,5
3112,oversubscrib,2
3113,non-convert,1
3114,everi,3
3115,advanc,16
3116,insur,16
3117,pension,2
3118,18:21:00.31,1
3119,clark,3
3120,acid,3
3121,rain,3
3122,joe,1
3123,wind,5
3124,two-day,2
3125,movement,6
3126,judg,3
3127,u.s.-canada,1
3128,consult,5
3129,lay,3
3130,groundwork,1
3131,summit,4
3132,mulroney,1
3133,patrick,2
3134,moynihan,1
3135,christoph,1
3136,connecticut,1
3137,mitchel,2
3138,main,18
3139,bush,1
3140,malcolm,3
3141,baldrig,4
3142,prioriti,1
3143,five-year,3
3144,cleaner,1
3145,burn,1
3146,coal,6
3147,length,1
3148,urg,6
3149,heat,3
3150,mechan,2
3151,settl,2
3152,disput,4
3153,18:22:58.57,1
3154,cor,2
3155,profit-shar,1
3156,check,3
3157,371,1
3158,"160,253",1
3159,emplye,1
3160,"2,100",1
3161,"1,200",2
3162,18:24:57.40,1
3163,jamaica,7
3164,cap,5
3165,oblig,5
3166,seaga,3
3167,speak,5
3168,maximum,4
3169,justifi,1
3170,million,2
3171,ratio,5
3172,287,1
3173,181,1
3174,miln,1
3175,1987-89,1
3176,grace,4
3177,2.5,11
3178,1.125,1
3179,libor,8
3180,10-year,1
3181,85,1
3182,pari,9
3183,club,1
3184,18:26:24.22,1
3185,faster,7
3186,sickl,4
3187,anemia,3
3188,california,1
3189,detect,3
3190,unborn,1
3191,child,7
3192,procedur,5
3193,cetu,1
3194,ctu,1
3195,genet,2
3196,fetu,1
3197,diagnosi,2
3198,pain,2
3199,inherit,2
3200,blood,2
3201,normally-flex,1
3202,stiffen,1
3203,sickle-lik,1
3204,shape,1
3205,primarili,6
3206,black,3
3207,promis,5
3208,rapid,2
3209,sensit,3
3210,reliabl,2
3211,method,4
3212,prenat,1
3213,techniqu,2
3214,adapt,2
3215,18:36:05.15,1
3216,"273,000",3
3217,"1,710,000",1
3218,"4,397,000",1
3219,"7,527,000",1
3220,2.67,1
3221,2.2,11
3222,22.1,1
3223,hongkong,6
3224,conting,1
3225,liabil,4
3226,litig,1
3227,reassess,1
3228,govt,1
3229,35.9,1
3230,defer,4
3231,debit,1
3232,nov,2
3233,05:03:38.51,1
3234,amoco,3
3235,sea,9
3236,offshor,7
3237,pearl,2
3238,basin,1
3239,concess,3
3240,liu,1
3241,hua,1
3242,11-1-1,1
3243,"2,240",1
3244,depth,3
3245,305,1
3246,metr,1
3247,drill,10
3248,05:12:17.12,1
3249,finalis,3
3250,state-own,6
3251,kepco,6
3252,950-megawatt,1
3253,tenth,1
3254,eleventh,1
3255,pressuris,2
3256,light-wat,1
3257,reactor,2
3258,ge,7
3259,turbin,1
3260,sargent,1
3261,lundi,1
3262,wage,6
3263,tug-of-war,1
3264,optimist,5
3265,vital,1
